1,Horse,Mustang,bay,4999,100,https://i.skyrock.net/2403/75432403/pics/2943106009_1_7.png
2,Horse,Pure-Bred Spanish Horse,grey,4999,100,https://www.equideow.com/media/equideo/image/chevaux/adulte/iberique/normal/300/gr-pml.png
3,Horse,French Trotter,bay,3999,100,https://i.skyrock.net/2403/75432403/pics/2943165259_1_5.png
4,Horse,Pure-Bred Arab Horse,white,3999,100,https://i.skyrock.net/2403/75432403/pics/2942892871_1_5.png
5,Horse,Marwari,painted black,9999,100,https://ouranos.equideow.com/media/equideo/image/chevaux/adulte/marwari/normal/300/pie-ov-nr.png
6,Poney,Shetland,alezan,999,100,https://www.equideow.com/media/equideo/image/chevaux/adulte/shetland/normal/300/alz.png
7,Poney,Connemara,bay,1599,100,https://www.google.fr/imgres?imgurl=https%3A%2F%2Fwww.equideow.com%2Fmedia%2Fequideo%2Fimage%2Fchevaux%2Fadulte%2Fponey-primitif%2Fnormal%2F300%2Fbai-b.png&imgrefurl=https%3A%2F%2Fwww.equideow.com%2Fdossiers%2Frace%3FqName%3Dnewfoundland&docid=eJ-c2-yZrBulxM&tbnid=Ss1MFoh9-4h0LM%3A&vet=10ahUKEwjbtezT58TUAhXCbhQKHRNaAZoQMwgpKAcwBw..i&w=300&h=300&bih=1240&biw=1266&q=equideow%20poney&ved=0ahUKEwjbtezT58TUAhXCbhQKHRNaAZoQMwgpKAcwBw&iact=mrc&uact=8#h=300&imgdii=Ss1MFoh9-4h0LM:&vet=10ahUKEwjbtezT58TUAhXCbhQKHRNaAZoQMwgpKAcwBw..i&w=300
8,"Foal, Poney",Shetland,alezan,499,100,https://ouranos.equideow.com/media/equideo/image/chevaux/poulain/shetland/normal/300/alz.png
9,"Foal, Horse",Mustang,painted,899,100,https://ouranos.equideow.com/media/equideo/image/chevaux/poulain/generique1/normal/300/bkt-alz-b.png
10,"Legendary, Horse",Unicorn,white,500000,1,https://i.skyrock.net/6802/79146802/pics/3013556331_1_21_vMvQTm2E.png
11,"Legendary, Horse",Pegasus,black,500000,1,https://ouranos.equideow.com/media/equideo/image/chevaux/adulte/frison/pegase/300/nr.png
